LocalAuth,GeoCode,HEV,Cars,HEVp1000,CompCars,CCp1000,HEVln,SecNei,FirstNei,LondonB,LondonPlus,NonLPlus,AreaCat,PropDriveLCC1k,DistLCC,NoCar,OneCar,TwoCar,ThreePlus,WorkHome,Underground,Train,Bus,Taxi,Motorcycle,CarDriver,CarPasseng,Bicycle,Foot,Private,Public,Active,Dist.to.work.km,PopD,OwnedOut,OwnedMort,RentPriv,RentSoc,Detached,Semi,Terrace,Flat,Mean House Size,AgeMean,Prop.16.to.24,Prop.25.to.29,Prop.30.to.44,Prop.45.to.59,Prop.60.to.74,Prop.75.and.over,DepChild,NoQual,Level1,Level2,Level3,Level4,PartTime,FullTime,SelfEmp,Unempl,Retired,Student,HomeFam,Disabled,MeanY1k,MedianY1k,MeanAgeln,A30to44ln,Level4ln,PartTimeln,MeanY1kln,OneCarln,DriveWorkln,PopDln,MeanHSizeln,DepChildln,CCars1kln,PropDriveLCC1kln,DistLCCln
Hartlepool UA,E06000001,63,38269,1.646241083,1766,46.14701194,0.498494557,0,0,0,0,1,4,0.068944913,359510.3371,35.28713459,40.98778256,18.94939902,4.77568383,2.76696587,0.08737787,1.273598644,6.863134482,1.853469961,0.476606561,63.20597347,8.510074933,1.914369688,11.95223343,74.04612493,8.224110996,13.86660312,15.9,9.8,27.42741257,32.40836919,14.76727507,23.53217589,16.53840673,32.57327443,37.45190252,13.21789939,2.251966167,39.8,11.9268049,6.1090103,18.3302908,21.0001304,15.2247142,8.06711,44.95875173,30.65958937,13.5487956,16.1556286,12.496632,17.59848036,15.10687983,33.88270163,5.695766721,7.774983534,15.89874858,7.228609065,4.88743189,7.084905096,25,19.5,3.683866912,2.908554926,2.867812555,2.715150258,3.218875825,3.713274036,4.146398814,2.282382386,0.811803687,3.805745441,3.831832212,-2.674447456,12.79249821
Middlesbrough UA,E06000002,91,51821,1.756044847,2834,54.6882538,0.563064034,0,0,0,0,1,4,0.314554434,345303.9142,37.5644634,40.14299949,17.84346975,4.449067357,2.394265496,0.080664381,1.316296038,9.120574917,1.754450291,0.361156434,59.59631144,8.698920197,2.561094102,12.94846646,70.41083836,10.51753534,15.50956056,14,25.7,26.57203294,30.63300876,16.62325403,23.86937748,13.62832744,40.03602642,32.97918474,13.65668157,2.377078125,37.8,14.4084328,7.0550241,18.3611248,19.5539404,13.2676358,7.1222148,46.85933276,29.8906792,13.63385231,15.29857167,13.17102772,18.54196669,14.98045768,31.12947658,5.142663922,7.589183598,13.84571014,11.80396018,5.538482959,6.803512645,24,19.3,3.632309103,2.910235647,2.920036633,2.70674653,3.17805383,3.692448066,4.087593684,3.246490992,0.865872055,3.847150194,4.001648948,-1.156598137,12.75218022
Redcar and Cleveland UA,E06000003,88,64747,1.359136331,2626,40.55786368,0.306849447,0,0,0,0,1,4,0.18888714,343823.5182,28.41204597,42.55851019,22.89405251,6.135391326,3.091173652,0.076303368,2.116974838,5.983603648,0.734641729,0.459594705,67.28714909,7.193810555,1.586400256,10.16964191,75.67519608,8.176881854,11.75604217,17.2,5.5,33.22875598,33.38478316,12.47210804,19.4077678,17.95182475,44.04756135,28.04245626,9.993699414,2.24665716,41.5,11.255613,5.6429718,17.8432722,20.9244176,17.7019759,8.7544479,41.28083188,28.42060697,13.46443145,16.41729198,13.12662709,18.92875481,15.44914648,33.6489307,5.912661202,6.587212761,19.36537705,6.635611079,4.397188864,5.917702693,24.7,19.9,3.725693427,2.88162653,2.940682184,2.737553758,3.206803244,3.750879839,4.208969269,1.704748092,0.809443405,3.720398273,3.702729687,-1.666605585,12.74788378
Stockton-on-Tees UA,E06000004,234,91623,2.553943879,3730,40.710302,0.937638783,0,0,0,0,1,4,0.249327336,349124.0812,25.92756351,41.34463548,25.88082214,6.846978865,3.267831317,0.117077202,1.338353114,5.87107734,0.736897684,0.47863915,69.35332063,7.070544753,1.968503937,8.629278483,77.63940222,7.326507656,10.59778242,15.9,9.4,29.41548024,39.08589042,13.12169178,17.21219318,24.25064144,41.00344127,23.54779479,11.20177049,2.373172981,39.1,12.0635666,6.576901,19.5892699,20.6941183,14.4825427,7.2277021,44.13910334,23.7717067,13.89293412,16.8598668,13.56090173,22.81509097,15.69098639,37.6292178,6.356733545,5.741038293,14.76459966,8.192443869,4.202511127,4.877927396,26,19.5,3.666122467,2.974981962,3.127422202,2.753086432,3.258096538,3.721942679,4.239214028,2.240709689,0.86422787,3.787346087,3.706481181,-1.388988643,12.76318267
Darlington UA,E06000005,105,49794,2.108687794,6285,126.2200265,0.746065855,0,0,0,0,1,4,0.205826769,351478.8016,27.96657382,44.31540604,22.39125777,5.326762374,4.11923124,0.069367936,1.758681193,6.998000571,0.899742931,0.393765047,62.29036602,6.936793569,2.387073081,13.51654629,70.52066757,8.8260497,15.90361937,15.7,5.3,29.59074352,35.30962074,18.24083994,15.48746518,17.28270701,37.58531371,31.24331881,14.05723214,2.230233555,40.2,10.5613656,6.2587625,19.8145201,20.4236293,15.5374938,8.2622864,43.13440548,24.8122591,13.40839064,15.89559146,12.7499795,23.71685978,15.07796699,39.58635088,7.300841652,5.222156978,15.93788739,6.127748418,4.020356234,4.876361976,25.4,19.8,3.693866996,2.986415007,3.166186178,2.713234539,3.234749174,3.791332383,4.131806775,1.667706821,0.802106313,3.76432095,4.838026626,-1.580720391,12.76990468
Halton UA,E06000006,143,59007,2.423441287,5990,101.5133798,0.885188549,0,0,0,0,1,4,0.283862421,270710.2476,26.97328932,42.99782413,24.18404862,5.844837935,2.67641593,0.065998576,1.920905917,6.674540181,0.607881619,0.616565643,68.26684266,7.070531636,2.113691231,9.443006756,76.56182156,8.661444674,11.55669799,14.5,15.9,27.07833133,36.31452581,9.776410564,25.21195978,19.57173682,33.05782101,36.40968438,10.76509527,2.341611645,38.9,11.5256151,6.4741622,19.8845291,20.8292908,15.0128036,6.4503046,44.70341264,26.90564279,16.83710412,18.55007489,12.51549807,17.64746724,14.1325452,40.14648143,5.846313155,5.556154809,14.38063598,6.87858653,4.206756698,6.958407041,25.2,19.8,3.660994251,2.989941997,2.870592274,2.648480308,3.226843995,3.761149513,4.223424183,2.766319109,0.850839429,3.800049844,4.62019061,-1.259265591,12.50880433
Warrington UA,E06000007,338,110349,3.06300918,5293,47.96599879,1.119397825,0,0,0,0,1,4,0.269104069,268559.1287,19.27296218,41.79821471,31.26967348,7.659149636,4.608550805,0.146743872,2.128777663,4.996232252,0.396605061,0.686126755,70.61255652,5.753747918,2.595780122,7.561275482,77.44903625,7.271753787,10.1570556,15,11.2,31.954428,39.59243599,11.21564482,15.64247122,23.68124808,40.96175932,24.06331374,11.22317865,2.334660559,39.5,10.880788,6.1826256,20.9303361,20.7627035,15.150721,6.930791,43.74602537,20.68486698,14.58676144,16.51608483,12.59687907,27.44728616,14.5737015,42.73690127,7.772596196,3.988331404,14.84601334,6.671305558,3.289821425,4.056576632,29.4,21.8,3.676300672,3.041199595,3.312267298,2.679218637,3.380994674,3.732853628,4.257207983,2.415913778,0.84786651,3.77840076,3.870492401,-1.312657101,12.50082639
Blackburn with Darwen UA,E06000008,137,58447,2.344003969,4983,85.25672832,0.851860565,0,0,0,0,1,4,0.16409828,290810.9739,30.51627639,43.78149356,20.60746604,5.094764005,3.748987988,0.07104737,1.657221222,5.44751582,1.872015597,0.532029146,63.74766618,8.317499133,0.991358657,13.00993011,74.46921006,7.175784412,14.00128877,12.5,10.8,31.45258313,32.69924851,15.68008648,18.11762244,13.82537952,28.45424809,45.59087478,12.17143336,2.535159451,36.2,11.9649601,7.4249605,20.9249503,18.1145713,12.367024,5.9021351,50.18831217,28.71678365,14.33054578,15.22338714,11.42394936,19.81577412,13.9201471,34.09119205,7.658714577,5.339168909,12.68758919,8.996619324,6.762308819,7.065899231,21.9,17.7,3.589059119,3.040942241,2.986478293,2.633337222,3.086486637,3.779211207,4.154932574,2.379546134,0.930256535,3.915782174,4.445667038,-1.807289762,12.58042876
Blackpool UA,E06000009,167,57390,2.909914619,3491,60.82941279,1.06812374,0,0,0,0,1,4,0.189670266,324396.2468,36.71912626,42.71288082,16.52244162,4.045551292,5.381071004,0.066754587,0.859668832,8.551099823,1.007831453,0.915026295,56.536251,7.603510314,3.171656979,14.96442469,66.06261906,9.477523242,18.13608167,11.4,40.7,30.01227337,31.58761477,26.05372318,10.87358429,8.58749855,36.64472921,30.10988055,24.9246202,2.142013765,41.3,10.9224651,6.039489,18.902615,20.479358,16.7303699,9.0704959,43.20816662,31.32760349,15.53483749,17.1321091,11.60764017,15.50827342,14.29108108,32.97274908,9.59417414,6.104245133,16.18968723,6.729407685,3.798175566,7.925789641,20.5,17.1,3.7208625,2.939300272,2.741373651,2.659635642,3.020424886,3.754500533,4.034882043,3.706228092,0.761746398,3.766029519,4.108073435,-1.662468157,12.68972103
"Kingston upon Hull, City of UA",E06000010,132,90240,1.462765957,5983,66.30097518,0.380329135,0,0,0,0,1,4,0.109264029,250369.237,40.63021777,42.28569399,14.21187254,2.872215709,1.909777012,0.048691199,0.609541672,13.11867127,1.045959081,1.195639433,53.19603618,7.901499509,8.189138256,11.97082135,63.3391342,13.77690414,20.15995961,11.4,35.9,19.85416889,29.6902199,20.4128033,28.09513659,7.051804798,26.93248637,49.21584617,16.86595991,2.243534406,37.5,14.9629884,7.9069913,20.3224574,18.6099389,12.5367581,6.7978128,45.70412232,31.65304749,14.59430879,15.42924438,13.11478562,15.23120554,14.71119039,35.69330046,5.148733015,8.024762604,12.07963905,10.59073501,4.974555375,6.045852788,20.4,17.3,3.624340933,3.01172655,2.723346319,2.688608455,3.015534901,3.744448825,3.973983886,3.580737295,0.808052482,3.822188498,4.194204606,-2.213988041,12.43069206
